0
1
2
3
4
5
6
7
8
18780
         4609816 function calls (4606727 primitive calls) in 41.508 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 axis.py:1649(XAxis)
        1    0.000    0.000    0.000    0.000 axis.py:1972(YAxis)
        1    0.000    0.000    0.000    0.000 axis.py:27(Tick)
        1    0.002    0.002    0.005    0.005 axis.py:3(<module>)
        1    0.000    0.000    0.000    0.000 axis.py:334(XTick)
        1    0.000    0.000    0.000    0.000 axis.py:470(YTick)
        1    0.000    0.000    0.000    0.000 axis.py:606(Ticker)
        1    0.000    0.000    0.000    0.000 axis.py:611(Axis)
        1    0.009    0.009    0.009    0.009 backend_agg.py:21(<module>)
        1    0.000    0.000    0.000    0.000 backend_agg.py:445(FigureCanvasAgg)
        1    0.000    0.000    0.000    0.000 backend_agg.py:65(RendererAgg)
        4    0.000    0.000    0.000    0.000 backend_bases.py:109(register_backend)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1162(TimerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1315(Event)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1338(IdleEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1346(DrawEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1362(ResizeEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1381(CloseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1392(LocationEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:142(ShowBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1497(MouseEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1557(PickEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1598(KeyEvent)
        1    0.000    0.000    0.000    0.000 backend_bases.py:1635(FigureCanvasBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:198(RendererBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2575(NonGuiException)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2579(FigureManagerBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2664(NavigationToolbar2)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3181(ToolContainerBase)
        1    0.006    0.006    0.378    0.378 backend_bases.py:33(<module>)
        1    0.000    0.000    0.000    0.000 backend_bases.py:3315(StatusbarBase)
        1    0.000    0.000    0.000    0.000 backend_bases.py:769(GraphicsContextBase)
        1    0.000    0.000    0.000    0.000 backend_managers.py:18(ToolEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:27(ToolTriggerEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:34(ToolManagerMessageEvent)
        1    0.000    0.000    0.000    0.000 backend_managers.py:46(ToolManager)
